original,translated
"""Other systemic agents, not elsewhere classified, causing adverse effects in therapeutic use""","""Other systemic agents, not elsewhere classified, causing adverse effects in therapeutic use"""
Unspecified systemic agent causing adverse effects in therapeutic use,Unspecified systemic agent causing adverse effects in therapeutic use
Dental drugs topically applied causing adverse effects in therapeutic use,Dental drugs topically applied causing adverse effects in therapeutic use
Surface and infiltration anesthetics causing adverse effects in therapeutic use,Surface and infiltration anesthetics causing adverse effects in therapeutic use
Other tranquilizers causing adverse effects in therapeutic use,Other tranquilizers causing adverse effects in therapeutic use
Other vasodilators causing adverse effects in therapeutic use,Other vasodilators causing adverse effects in therapeutic use
Yellow fever vaccine causing adverse effects in therapeutic use,Yellow fever vaccine causing adverse effects in therapeutic use
Adverse effects of work environment,Adverse effects of work environment
"""Affective personality disorder, unspecified""","""Affective personality disorder, unspecified"""
"""Aftercare following surgery of the teeth, oral cavity and digestive system, NEC""","""Aftercare following surgery of the teeth, oral cavity and digestive system, NEC"""
Aftercare following explantation of joint prosthesis,Aftercare following explantation of joint prosthesis
"""Aftercare following surgery of the nervous system, NEC""","""Aftercare following surgery of the nervous system, NEC"""
Aftercare following organ transplant,Aftercare following organ transplant
Aftercare for healing pathologic fracture of upper arm,Aftercare for healing pathologic fracture of upper arm
Other aftercare involving the use of plastic surgery,Other aftercare involving the use of plastic surgery
"""After-cataract, obscuring vision""","""After-cataract, obscuring vision"""
Aftercare following surgery for injury and trauma,Aftercare following surgery for injury and trauma
"""Aftercare for healing pathologic fracture of arm, unspecified""","""Aftercare for healing pathologic fracture of arm, unspecified"""
"""Aftercare for healing pathologic fracture of leg, unspecified""","""Aftercare for healing pathologic fracture of leg, unspecified"""
Aftercare for healing pathologic fracture of lower arm,Aftercare for healing pathologic fracture of lower arm
Aftercare for healing pathologic fracture of lower leg,Aftercare for healing pathologic fracture of lower leg
Aftercare for healing pathologic fracture of vertebrae,Aftercare for healing pathologic fracture of vertebrae
Aftercare for healing traumatic fracture of upper arm,Aftercare for healing traumatic fracture of upper arm
Aftercare for healing traumatic fracture of upper leg,Aftercare for healing traumatic fracture of upper leg
Aftercare for healing traumatic fracture of other bone,Aftercare for healing traumatic fracture of other bone
Other aftercare involving internal fixation device,Other aftercare involving internal fixation device
Aftercare for healing pathologic fracture of other bone,Aftercare for healing pathologic fracture of other bone
"""Aftercare following surgery of the genitourinary system, NEC""","""Aftercare following surgery of the genitourinary system, NEC"""
"""Aftercare following surgery of the musculoskeletal system, NEC""","""Aftercare following surgery of the musculoskeletal system, NEC"""
"""Aftercare following surgery of the respiratory system, NEC""","""Aftercare following surgery of the respiratory system, NEC"""
"""Aftercare for healing traumatic fracture of arm, unspecified""","""Aftercare for healing traumatic fracture of arm, unspecified"""
"""Aftercare for healing traumatic fracture of leg, unspecified""","""Aftercare for healing traumatic fracture of leg, unspecified"""
Aftercare for healing traumatic fracture of lower arm,Aftercare for healing traumatic fracture of lower arm
Aftercare for healing traumatic fracture of lower leg,Aftercare for healing traumatic fracture of lower leg
Aftercare for healing traumatic fracture of vertebrae,Aftercare for healing traumatic fracture of vertebrae
Aftercare for healing traumatic fracture of hip,Aftercare for healing traumatic fracture of hip
"""Aggressive periodontitis, unspecified""","""Aggressive periodontitis, unspecified"""
"""Aggressive periodontitis, generalized""","""Aggressive periodontitis, generalized"""
"""Aggressive periodontitis, localized""","""Aggressive periodontitis, localized"""
Accident due to changes in air pressure due to diving,Accident due to changes in air pressure due to diving
Accident due to changes in air pressure in aircraft,Accident due to changes in air pressure in aircraft
"""Accident to powered aircraft, other and unspecified, injuring occupant of commercial aircraft (powered) in surface to air transport""","""Accident to powered aircraft, other and unspecified, injuring occupant of commercial aircraft (powered) in surface to air transport"""
"""Accident to powered aircraft, other and unspecified, injuring ground crew, airline employee""","""Accident to powered aircraft, other and unspecified, injuring ground crew, airline employee"""
"""Accident to powered aircraft, other and unspecified, injuring parachutist (military) (other)""","""Accident to powered aircraft, other and unspecified, injuring parachutist (military) (other)"""
"""Fall in, on, or from aircraft injuring other person""","""Fall in, on, or from aircraft injuring other person"""
Other specified air transport accidents injuring occupant of commercial aircraft (powered) in surface to air transport,Other specified air transport accidents injuring occupant of commercial aircraft (powered) in surface to air transport
"""Other specified air transport accidents injuring ground crew, airline employee""","""Other specified air transport accidents injuring ground crew, airline employee"""
"""Other specified air transport accidents injuring occupant of military aircraft, any""","""Other specified air transport accidents injuring occupant of military aircraft, any"""
Other specified air transport accidents injuring occupant of other powered aircraft,Other specified air transport accidents injuring occupant of other powered aircraft
Other specified air transport accidents injuring other person,Other specified air transport accidents injuring other person
"""Accident to powered aircraft, other and unspecified, injuring other person""","""Accident to powered aircraft, other and unspecified, injuring other person"""
"""Fall in, on, or from aircraft injuring ground crew, airline employee""","""Fall in, on, or from aircraft injuring ground crew, airline employee"""
"""Alcoholic gastritis, without mention of hemorrhage""","""Alcoholic gastritis, without mention of hemorrhage"""
"""Other and unspecified alcohol dependence, continuous""","""Other and unspecified alcohol dependence, continuous"""
"""Other and unspecified alcohol dependence, episodic""","""Other and unspecified alcohol dependence, episodic"""
"""Other and unspecified alcohol dependence, in remission""","""Other and unspecified alcohol dependence, in remission"""
"""Other and unspecified alcohol dependence, unspecified""","""Other and unspecified alcohol dependence, unspecified"""
Alcohol induced sleep disorders,Alcohol induced sleep disorders
Alcohol-induced psychotic disorder with hallucinations,Alcohol-induced psychotic disorder with hallucinations
"""Alcohol abuse, continuous""","""Alcohol abuse, continuous"""
Alcohol-induced persisting amnestic disorder,Alcohol-induced persisting amnestic disorder
"""Alcoholic liver damage, unspecified""","""Alcoholic liver damage, unspecified"""
Other alcohol-induced mental disorders,Other alcohol-induced mental disorders
Unspecified alcohol-induced mental disorders,Unspecified alcohol-induced mental disorders
Alcohol-induced persisting dementia,Alcohol-induced persisting dementia
Alcoholic cardiomyopathy,Alcoholic cardiomyopathy
Alcoholic polyneuropathy,Alcoholic polyneuropathy
